winery_slug,wine_label,wine_name,vintage_year,list_position
kmetija-sibav-danjela,Tajo 2024,Tajo,2024,3
kmetija-sibav-danjela,Aurora Belo 2020,Aurora Belo,2020,4
kmetija-sibav-danjela,Aurora Rdeče 2020,Aurora Rdeče,2020,5
kmetija-sibav-danjela,Larya Malvazija 2023,Larya Malvazija,2023,6
kmetija-sibav-danjela,Rose 2023,Rose,2023,7
kristalvin,Rebula 2025,Rebula,2025,1
kristalvin,Sivi pinot 2025,Sivi pinot,2025,2
kristalvin,Sauvignon vert 2025,Sauvignon vert,2025,3
kristalvin,Rose 2025,Rose,2025,4
kristalvin,penina Rebula extra brut,penina Rebula extra brut,,5
persolja-vina,Optimist belo (cuvee),Optimist belo (cuvee),,1
persolja-vina,Optimist rdeče (cuvee),Optimist rdeče (cuvee),,2
persolja-vina,Rebula,Rebula,,3
persolja-vina,Rebula Oranž,Rebula Oranž,,4
persolja-vina,Merlot,Merlot,,5
persolja-vina,Sivi Pinot Prestige,Sivi Pinot Prestige,,6
persolja-vina,Modri pinot barrique,Modri pinot barrique,,7
persolja-vina,Cabernet Franc barrique Arhiva,Cabernet Franc barrique Arhiva,,8
posestvo-pintar,Rebula 2025,Rebula,2025,1
posestvo-pintar,Malvazija 2025,Malvazija,2025,2
posestvo-pintar,Chardonnay 2025,Chardonnay,2025,3
posestvo-pintar,Merlot 2025,Merlot,2025,4
posestvo-pintar,Cabernet Sauvignon 2025,Cabernet Sauvignon,2025,5
posestvo-pintar,Valentine's Red (rdeči cuvee) 2025,Valentine's Red (rdeči cuvee),2025,6
posestvo-pintar,Christian's White (beli cuvee) 2025,Christian's White (beli cuvee),2025,7
reja-vino,EXTOK 2021,EXTOK,2021,1
reja-vino,CHARDONNAY 2021,CHARDONNAY,2021,2
reja-vino,REBUKA RAKAC 2016,REBUKA RAKAC,2016,3
reja-vino,DEUCES RED 2019,DEUCES RED,2019,4
reja-vino,CABERNET SAUVIGNON 2012,CABERNET SAUVIGNON,2012,5
rokovi-vinogradi,Sauvignon vert 2024,Sauvignon vert,2024,1
rokovi-vinogradi,Rebula 2024,Rebula,2024,2
rokovi-vinogradi,Malvazija orange 2022,Malvazija orange,2022,3
rokovi-vinogradi,Cabernet sauvignon 2024,Cabernet sauvignon,2024,4
ronk,Rebula 2024,Rebula,2024,1
ronk,Malvazija 2023,Malvazija,2023,2
ronk,Beli pinot 2023,Beli pinot,2023,3
ronk,Merlot 2021,Merlot,2021,4
scurek,Rebula 2025,Rebula,2025,1
scurek,Sivi pinot 2025,Sivi pinot,2025,2
scurek,Jazbine 2023,Jazbine,2023,3
scurek,Merlot 2023,Merlot,2023,4
scurek,Modri pinot 2022,Modri pinot,2022,5
sibau,Rebula 2023,Rebula,2023,1
sibau,Sauvignonasse 2023,Sauvignonasse,2023,2
sibau,Chardonnay 2021,Chardonnay,2021,3
sibau,Merlot 2022,Merlot,2022,4
vina-fikfak,Rebula 2025,Rebula,2025,1
vina-fikfak,Malvazija 2025,Malvazija,2025,2
vina-fikfak,Sauvignonasse 2025,Sauvignonasse,2025,3
vina-fikfak,Chardonnay 2025,Chardonnay,2025,4
vina-fikfak,Cabernet 2025,Cabernet,2025,5
vina-marko-sirk,Penina brut natur 2022,Penina brut natur,2022,1
vina-marko-sirk,Brut Rose 2023,Brut Rose,2023,2
vina-marko-sirk,Rebula 2024,Rebula,2024,3
vina-marko-sirk,Malvazija 2024,Malvazija,2024,4
vina-marko-sirk,Sivi pinot 2024,Sivi pinot,2024,5
vina-marko-sirk,Rdeče 2na2 2022,Rdeče 2na2,2022,6
vina-mavric,Kmalu na voljo,Kmalu na voljo,,1
vina-pulec,Penina Pulec 2024,Penina Pulec,2024,1
vina-pulec,Rebula 2024,Rebula,2024,2
vina-pulec,Sivi pinot 2024,Sivi pinot,2024,3
vina-pulec,Cabernet Barrique 2021,Cabernet Barrique,2021,4
vina-pulec,Vajta rdeče 2024,Vajta rdeče,2024,5
